product_code,product_description
PIAO0001,AT MAIZE FOUNDATION SEEDS
PIAP0001,ANIMAL TREATMENT PASS BOOK
PIAR0001,RD ASSEMBLY
PIAS0001,AT MAIZE BREEDER SEEDS
PIAT0001,AT MAIZE
PIAU0001,MILK ANALYZER WITH ULTRASONIC STIRER
PIAV0001,"PROCESSOR ACCER-VERITON H81,INTEL"
PIAW0001,ALLUMINIUM ALLOY MILK CAN WITH LIDS
PIAX0001,L.D. AX X 100 OIL
PIAY0001,AMYL ALCOHOL-250ML
PIAZ2001,EKOMILK MILK ANALYZER CLEANING SOLUTION- WEEKLY-200ML
PIBB0001,BLACK TAB(MOTOR)
PIBC0001,RS212 PC BOARD CANON
PIBMC001,STERBAC- BMC-DETERGENT & DISINFECTANTS CHEMICAL FOR BMC
PIBD0001,MOTHER BOARD DELL VOSTRO 270(H61 MERCURY
PIBMC001,BD PULLY
PIBE0001,BENZAN 100ML
PIBF0001,BF-SEMEN
PIBG0001,ALCOHOLE BOTTLE GLASS
PIBH0001,BRUSHES FOR BUTYROMETER
PIBI0001,BILFENFORTE1s
PIBL0001,BYE LAW BOOK NEW
PIBM0001,MOTHERBOARD MERCURY(915 MERCURY)
PIBN0001,BMC MILK TRANSPORT CONTRACTOR BILL PAD
PIBO0001,MOTHER BOARD(EWS)
PIBP0001,SAMPLE BOTTLE (PLASTIC)
PIBR0001,Cluster DCS Milk Receipt Book-BMC
PIBS0001,PCB (STIRRER SPARE)
PIBT0001,PUMP PIPE (BLACK TAB)
PIBT1001,DRILL BIT 1MM
PIBT6001,DRILL BIT 6MM
PIBU0001,PUSH BUTTON(ANALYSER)
PIBW0001,BUTTON SWITCH (STIRRER)
PIBY0001,BUTYROMETER
PIBZ0001,MULTIMEDIA KEY BOARD USB ZEBRONICS
PICA0001,VGA CABLE
PICB0001,USB DATA CABLE MUILY BYTE
PICC0001,NO RINSE CLEANING CHEMICAL (BMC)
PICC1001,TILT MEASURE 10CC
PICD0001,PRICE CHART FOR DIS_PLAY
PICDR001,COFS-29 (FODDER SEEDS)
PICE0001,LUCERNE.
PICF0001,CALF STARTER FEED
